symbol,timetoexpiry,strike,last,bid,ask,volume,openint,curprice,histvol,implvol,bsval
HP,76,55,2.05,1.5,1.7,60,653,52.110001,0.31986612489827,0.299849630947653,1.88089892056499
AI,48,12.5,0.55,0.45,0.6,164,157,12.73,0.100980823323017,0.261024295252957,0.321661965741116
NEM,111,37,2.5,2.44,2.52,24,722,37.509998,0.223130162316274,0.275499961008057,2.09393558817616
EBS,76,35,4.7,5.8,6.5,15,75,40.450001,0.20751332326618,0.44211067742937,5.5477770414682
FC,20,22.5,0.15,0.05,0.2,17,67,20.299999,0.251233247092302,0.453367488735514,0.0203404297567914
XL,48,42,0.63,0.65,0.87,450,862,39.450001,0.448735331314219,0.318639785175341,1.55867814336548
FDX,48,240,0.94,0.96,0.98,181,222,225.580002,0.140352134224052,0.159664287241509,0.64084442954503
AMRC,20,10,0.2,0,0.25,10,20,7.8,0.209895952068561,1.19135222461527,1.69472552657979e-08
APH,20,85,0.97,0.75,1,445,293,84.639999,0.136599487468434,0.147869806513102,0.911464494554785
MSB,48,22.5,1.6,1.45,1.7,45,360,23,0.683423417290146,0.436829802838865,2.50237065821117
HLF,27,73,0.5,0.21,0.47,10,10,67.830002,0.0877357389114986,0.278491555944063,0.000485005192199878
CCM,76,5,0.1,0,0,5,0,3.51,0.337916032728852,0.0244071294444653,0.00239670289679431
PEO,20,20,0.15,0,0.15,10,10,19.65,0.0886665654702646,0.157878198209232,0.0451963519261365
ONDK,139,3,1.85,1.65,1.9,25,75,4.67,0.411115186668489,0.875540010165314,1.68548058369313
HLX,167,10,0.4,0.25,0.4,60,65,7.39,0.431892282738688,0.567004902302605,0.194199925668627
CIM,76,16,3.7,2.9,3.1,34,10,18.92,0.109904370952642,0.333039034337919,2.92009427005877
BKS,111,5,2.6,2.5,2.7,40,179,7.6,0.527989363474355,0.601725593930184,2.66003513696992
DOOR,111,65,5.2,6.9,8,20,21,69.199997,0.238246638791804,0.383815369801805,6.00548683437678
BBG,76,3,1.5,1.35,1.5,1100,902,4.29,0.679318080378239,1.02254124037666,1.35798099357149
RRTS,20,10,0.1,0.05,0.25,117,137,9.53,0.291070130811104,0.489633672077043,0.0939540479250991
POST,20,85,4.1,3.7,4.1,435,763,88.269997,0.141819533825612,0.255475787861267,3.45324800092826
WST,76,110,1.85,0.2,0.5,10,10,96.260002,0.211585083153408,0.22734412991585,0.378691321793013
AGX,20,75,0.15,0,5,2,15,67.25,0.222043077023266,1.25628971625397,0.02397102806539
